timestamp,event_type,query_type,zone_id,cache_key,latency_ms
1777518362.9106765,hit,Q2,Z1,area:Z1:conf=0.7,0.35691261291503906
1777518362.961019,hit,Q2,Z1,area:Z1:conf=0.0,0.3390312194824219
1777518363.0121837,hit,Q1,Z3,count:Z3:conf=0.0,0.7481575012207031
1777518363.0618603,hit,Q2,Z1,area:Z1:conf=0.0,0.3886222839355469
1777518363.1128714,hit,Q4,Z2,compare:density:Z2:Z3:conf=0.0,0.5869865417480469
1777518363.1623106,hit,Q3,Z2,density:Z2:conf=0.0,0.40340423583984375
1777518363.2132478,hit,Q3,Z1,density:Z1:conf=0.7,0.4394054412841797
1777518363.26286,hit,Q3,Z1,density:Z1:conf=0.7,0.5240440368652344
1777518363.312843,hit,Q1,Z1,count:Z1:conf=0.5,0.35262107849121094
1777518363.362933,hit,Q1,Z1,count:Z1:conf=0.0,0.5536079406738281
1777518363.4133024,hit,Q2,Z1,area:Z1:conf=0.0,0.5059242248535156
1777518363.463562,hit,Q2,Z1,area:Z1:conf=0.7,0.47397613525390625
1777518363.5142903,hit,Q2,Z1,area:Z1:conf=0.7,0.6759166717529297
1777518363.669813,miss,Q4,Z4,compare:density:Z4:Z1:conf=0.7,106.64606094360352
1777518363.6756015,hit,Q1,Z2,count:Z2:conf=0.0,0.42819976806640625
1777518363.7265801,hit,Q3,Z1,density:Z1:conf=0.7,0.3821849822998047
1777518363.777043,hit,Q1,Z1,count:Z1:conf=0.7,0.6659030914306641
1777518363.827585,hit,Q1,Z1,count:Z1:conf=0.7,0.5939006805419922
1777518363.878604,hit,Q5,Z1,confidence_dist:Z1:bins=5,0.5044937133789062
1777518363.929319,hit,Q5,Z1,confidence_dist:Z1:bins=10,0.4019737243652344
1777518363.9801607,hit,Q1,Z1,count:Z1:conf=0.0,0.4146099090576172
1777518364.0310252,hit,Q1,Z1,count:Z1:conf=0.5,0.9016990661621094
1777518364.0818686,hit,Q1,Z3,count:Z3:conf=0.0,0.6244182586669922
1777518364.1319582,hit,Q3,Z1,density:Z1:conf=0.0,0.5655288696289062
1777518364.1815073,hit,Q3,Z1,density:Z1:conf=0.0,0.45418739318847656
1777518364.2328951,hit,Q3,Z2,density:Z2:conf=0.0,0.5342960357666016
1777518364.2852,hit,Q3,Z1,density:Z1:conf=0.5,1.3124942779541016
1777518364.3353262,hit,Q5,Z1,confidence_dist:Z1:bins=10,0.5326271057128906
1777518364.386896,hit,Q3,Z1,density:Z1:conf=0.7,0.9713172912597656
1777518364.4359746,hit,Q1,Z1,count:Z1:conf=0.7,0.3762245178222656
1777518364.4901853,hit,Q4,Z1,compare:density:Z1:Z2:conf=0.0,0.4680156707763672
1777518364.5365107,hit,Q3,Z1,density:Z1:conf=0.7,0.36644935607910156
1777518364.5888088,hit,Q1,Z2,count:Z2:conf=0.7,0.8897781372070312
1777518364.6371675,hit,Q3,Z1,density:Z1:conf=0.7,0.39005279541015625
1777518364.6905954,hit,Q2,Z1,area:Z1:conf=0.7,0.6754398345947266
1777518364.7387464,hit,Q1,Z1,count:Z1:conf=0.7,0.4279613494873047
1777518364.7905068,hit,Q3,Z1,density:Z1:conf=0.7,0.43320655822753906
1777518364.8403177,hit,Q1,Z1,count:Z1:conf=0.0,0.3514289855957031
1777518364.8914173,hit,Q3,Z2,density:Z2:conf=0.0,0.3681182861328125
1777518364.942539,hit,Q1,Z1,count:Z1:conf=0.7,0.5567073822021484
1777518364.9921157,hit,Q5,Z3,confidence_dist:Z3:bins=10,0.4029273986816406
1777518365.1476834,miss,Q4,Z2,compare:density:Z2:Z4:conf=0.7,105.11922836303711
1777518365.1573017,hit,Q2,Z2,area:Z2:conf=0.7,0.38170814514160156
1777518365.2069123,hit,Q1,Z3,count:Z3:conf=0.5,0.3638267517089844
1777518365.2586374,hit,Q1,Z2,count:Z2:conf=0.0,0.5745887756347656
1777518365.3076966,hit,Q1,Z1,count:Z1:conf=0.5,0.38051605224609375
1777518365.3588278,hit,Q3,Z1,density:Z1:conf=0.0,0.7119178771972656
1777518365.409056,hit,Q1,Z2,count:Z2:conf=0.5,0.32067298889160156
1777518365.4599774,hit,Q3,Z1,density:Z1:conf=0.7,0.4031658172607422
1777518365.5121715,hit,Q4,Z1,compare:density:Z1:Z3:conf=0.7,1.4755725860595703
1777518365.5608358,hit,Q1,Z1,count:Z1:conf=0.7,0.4601478576660156
1777518365.6117704,hit,Q3,Z1,density:Z1:conf=0.0,0.3724098205566406
1777518365.6602762,hit,Q2,Z1,area:Z1:conf=0.5,0.3571510314941406
1777518365.710966,hit,Q1,Z5,count:Z5:conf=0.5,0.42819976806640625
1777518365.760391,hit,Q2,Z1,area:Z1:conf=0.7,0.4734992980957031
1777518365.8112078,hit,Q1,Z1,count:Z1:conf=0.7,0.5328655242919922
1777518365.8616366,hit,Q2,Z2,area:Z2:conf=0.5,1.008749008178711
1777518365.911259,hit,Q3,Z3,density:Z3:conf=0.7,0.48804283142089844
1777518365.9615276,hit,Q1,Z5,count:Z5:conf=0.5,0.41985511779785156
1777518366.0126288,hit,Q1,Z4,count:Z4:conf=0.0,0.5908012390136719
1777518366.0628123,hit,Q1,Z1,count:Z1:conf=0.0,0.6618499755859375
1777518366.2200627,miss,Q4,Z1,compare:density:Z1:Z4:conf=0.5,107.21802711486816
1777518366.2285128,hit,Q1,Z1,count:Z1:conf=0.7,0.4105567932128906
1777518366.2793443,hit,Q1,Z2,count:Z2:conf=0.5,0.3800392150878906
1777518366.3300264,hit,Q1,Z1,count:Z1:conf=0.7,0.3669261932373047
1777518366.3800116,hit,Q4,Z1,compare:density:Z1:Z2:conf=0.5,0.3376007080078125
1777518366.430662,hit,Q2,Z1,area:Z1:conf=0.5,0.37670135498046875
1777518366.481201,hit,Q3,Z4,density:Z4:conf=0.5,0.6208419799804688
1777518366.5310297,hit,Q1,Z1,count:Z1:conf=0.7,0.37741661071777344
1777518366.5816097,hit,Q1,Z1,count:Z1:conf=0.5,0.5249977111816406
1777518366.7369585,miss,Q5,Z4,confidence_dist:Z4:bins=10,105.56888580322266
1777518366.74202,hit,Q5,Z2,confidence_dist:Z2:bins=5,0.3440380096435547
1777518366.7931023,hit,Q1,Z1,count:Z1:conf=0.0,0.41174888610839844
1777518366.8433561,hit,Q1,Z1,count:Z1:conf=0.0,0.5064010620117188
1777518366.8947027,hit,Q3,Z3,density:Z3:conf=0.7,0.7257461547851562
1777518366.9450781,hit,Q1,Z4,count:Z4:conf=0.0,0.7717609405517578
1777518366.9947135,hit,Q3,Z1,density:Z1:conf=0.7,0.5517005920410156
1777518367.0454817,hit,Q3,Z1,density:Z1:conf=0.0,0.5440711975097656
1777518367.095905,hit,Q1,Z2,count:Z2:conf=0.5,0.6406307220458984
1777518367.146468,hit,Q5,Z2,confidence_dist:Z2:bins=10,0.3788471221923828
1777518367.1965106,hit,Q4,Z2,compare:density:Z2:Z3:conf=0.5,0.5662441253662109
1777518367.2469058,hit,Q1,Z1,count:Z1:conf=0.7,0.5729198455810547
1777518367.2972026,hit,Q4,Z2,compare:density:Z2:Z1:conf=0.5,0.37169456481933594
1777518367.3476615,hit,Q1,Z3,count:Z3:conf=0.5,0.35119056701660156
1777518367.3977647,hit,Q1,Z2,count:Z2:conf=0.5,0.4291534423828125
1777518367.4487736,hit,Q2,Z1,area:Z1:conf=0.0,0.7431507110595703
1777518367.4997406,hit,Q3,Z1,density:Z1:conf=0.7,0.6201267242431641
1777518367.5506883,hit,Q1,Z2,count:Z2:conf=0.5,0.7586479187011719
1777518367.600004,hit,Q5,Z3,confidence_dist:Z3:bins=10,0.5638599395751953
